KEY,WORDS,MULTIPLICITY,2
, (game,2147483646
, (define,2147483645
, (metadata,2147483644
, ),630
, STRING,45
, (piece,5
, },13
, ("HopCapture",1
, ,15
, (if,29
, (moveAgain,8
, (place,12
, (play,18
, ("MoveOnTrack",2
, ("SiteToMoveOnTrack",4
, phases:{,3
, count:(size,1
, (score,1
, (and,6
, (end,7
, (then,4
, (nextPhase,3
, (to,10
, (remember,14
, (is,8
, (set,10
, (fromTo,4
, ("PlayFrom",1
, (regions,3
, (map,1
, (move,14
, (phase,1
, ("Team1OnlyOnStartSitesTeam2",1
, ("CaptureCastleAndStoreItTo",2
, #2,4
, if:(and,8
, (or,5
, if:(=,1
, (forEach,2
, (no,1
, maxState:NUMBER,1
, (add,2
, (do,1
, ("StepMove",1
, ("RebirthCapturingPiece",1
, if:(if,4
, ("RemovePlayerLastPiece",1
, (start,1
, (byScore,4
("NextSiteFromDistDouble",("NextSiteFromDistDouble" (site,2
board.",board." ),2
coord:"N3",coord:"N3" ),1
-90,-90 (wedge,3
(graph,(graph vertices:{,42
backtracking:(or,backtracking:(or (=,1
("ValueYellowDice",("ValueYellowDice" ),1
("ThirdPromotionOfSpecialPawn",("ThirdPromotionOfSpecialPawn" ),1
from:(where,from:(where STRING,13
replayDouble:(=,replayDouble:(= INTEGER,1
,replayDouble:(= FLOAT,1
("CounterSimpleMove",("CounterSimpleMove" ),2
ifAfterwards:(if,ifAfterwards:(if (is,1
("AllPiecesOutOfHomeAndCanNotBeCaptured",("AllPiecesOutOfHomeAndCanNotBeCaptured" ),1
("AddHint",("AddHint" STRING,2
(count,(count Pieces,213
,(count Sites,244
,(count Steps,67
,(count Moves,51
,(count Turns,34
,(count Pips,128
,(count MovesThisTurn,51
,(count in:(intersection,1
,(count StepsOnTrack,2
,(count at:(last,54
,(count at:(to,293
,(count Players,15
,(count Active,5
,(count Value,6
,(count Cell,173
,(count in:(sites,95
,(count at:(from,171
,(count at:"OppositePit",23
,(count at:"OppositeOuterPit",17
,(count at:(,10
,(count at:("NextHoleFrom",23
,(count at:"NextHole",1
,(count at:("OppositeOuterPitOuter",3
,(count at:("OppositePitOuter",3
,(count at:(site,66
,(count at:("OppositeOuterPit",16
,(count at:("OppositePit",57
,(count at:("OppositePitInner",1
,(count at:("OppositeOuterPitInner",1
,(count at:("CorrespondingOuterPit",2
,(count at:("OuterOppositePit",4
,(count at:(mapEntry,88
,(count at:("HoleOnLeft",1
,(count at:("NextSite",1
,(count at:("OppositeMiddlePit",3
,(count at:("NextHole",46
,(count in:(union,1
,(count in:(forEach,3
,(count at:NUMBER,14
,(count at:("WestHole",10
,(count at:("EastHole",10
,(count in:(difference,1
,(count at:("PlayFromLastHole",1
,(count in:(if,2
,(count at:("Tuz",1
,(count in:("SitesMarkedBy",1
,(count Groups,14
,(count Columns,9
,(count Rows,24
,(count Liberties,3
,(count at:(handSite,3
,(count Stack,2
,(count at:#1,4
,(count Cells,1
,(count at:"Rumba",1
,(count at:("LastHole",1
at:("NextSiteFrom",at:("NextSiteFrom" ("HuckeSite",7
,at:("NextSiteFrom" (site,9
("DoubleCounterHop",("DoubleCounterHop" ),1
xNUMBER,xNUMBER board.",2
("Die3",("Die3" ),7
coord:"N4",coord:"N4" ),1
level:(last,level:(last LevelTo,9
ifAfterwards:(is,ifAfterwards:(is SidesMatch,1
,ifAfterwards:(is In,6
,ifAfterwards:(is PipsMatch,1
stop:(<,stop:(< INTEGER,3
,stop:(< FLOAT,3
stop:(=,stop:(= (mover,5
,stop:(= (next,5
,stop:(= (to,5
coord:"N2",coord:"N2" ),1
(intersection,(intersection (sites,176
,(intersection (expand,15
,(intersection (difference,7
,(intersection (union,3
,(intersection ("Reachable",1
,(intersection {,4
,(intersection ("SpecialStartingPawns",1
,(intersection STRING,2
,(intersection #2,1
(,( (fromTo,1
),) (equipment,867
,) ),48933
,) (wedge,9
,) use:Vertex,194
,) (piece,1732
,) },4482
,) (rules,762
,) steps:NUMBER,496
,) (sites,1857
,) (place,2574
,) (play,431
,) (end,589
,) (if,1914
,) STRING,2899
,) (result,985
,) (option,383
,) (item,1822
,) (remember,98
,) (game,524
,) (shift,324
,) (expand,205
,) (do,118
,) next:(forEach,40
,) (then,1029
,) (last,113
,) (and,677
,) (remove,211
,) (forget,74
,) (forEach,464
,) (no,67
,) (=,692
,) (apply,421
,) (to,1930
,) (difference,59
,) (between,66
,) (moveAgain,504
,) ("HopMove",45
,) (regions,1123
,) (hand,301
,) count:NUMBER,449
,) phases:{,226
,) (nextPhase,366
,) (phase,326
,) (or,272
,) (move,765
,) ("HopSequenceCapture",6
,) counts:{,24
,) ("HopSequenceCaptureAgain",3
,) ("HopCapture",12
,) (rulesets,120
,) (ruleset,311
,) edges:{,66
,) ("StepToEmpty",31
,) INTEGER,1622
,) FLOAT,1622
,) (scale,17
,) {,134
,) (priority,34
,) (player,133
,) ,848
,) (add,88
,) (addScore,42
,) (+,152
,) (byScore,101
,) (-,185
,) (>=,37
,) (poly,17
,) trail:(id,2
,) (id,644
,) ("LetADiscOnTheFromLocation",1
,) (not,268
,) vertices:{,32
,) (square,3
,) (set,4335
,) (union,84
,) state:NUMBER,95
,) **,102
,) N,55
,) (graph,1
,) (is,726
,) if:(<,49
,) (row,6
,) if:#2,1
,) ("BigHop",4
,) if:#1,3
,) (centrePoint,71
,) (<,90
,) S,56
,) (intersection,38
,) (define,2688
,) #1,123
,) ("SitesWithPossibleCaptureInPreviousTurn",6
,) #3,16
,) #2,143
,) (!=,209
,) ("HasNotCaptured",6
,) next:,8
,) (directions,55
,) ("HopCustomSequenceCapture",2
,) ("NumCapturedPiecesIsOdd",2
,) if:(is,342
,) P2,14
,) (rectangle,18
,) (<=,20
,) (count,156
,) ("HaretavlEquipment",6
,) ("HaretavlRules",6
,) ("HaretavlEquipmentSwitchPlayers",6
,) ("HaretavlRulesSwitchPlayers",6
,) ("HaretavlEquipmentTwoDogs",6
,) ("HaretavlRulesTwoDogs",6
,) ("HaretavlEquipmentSwitchPlayersTwoDogs",6
,) ("HaretavlRulesSwitchPlayersTwoDogs",6
,) ("HaretavlEquipmentThreeDogsTwoHares",6
,) ("HaretavlRulesThreeDogsTwoHares",6
,) ("HaretavlEquipmentFourDogsTwoHares",6
,) ("HaretavlRulesFourDogsTwoHares",6
,) ("BlockingGameEquipmentFourPieces",6
,) ("BlockingGameRulesFourPieces",6
,) ("LineGameEquipmentThreePieces",6
,) ("LineGameRulesThreePieces",6
,) ("JeuMilitaireRules",2
,) ("JeuMilitaireRulesSwitchedPlayers",2
,) ("JanesSoppiGameEquipment",6
,) ("JanesSoppiGameRules",6
,) ("HaretavlEquipmentFourDogsTwoHaresStartingPosition",12
,) ("HaretavlRulesFourDogsTwoHaresStartingPosition",12
,) ("HaretavlEquipmentFourDogsTwoHaresStartingPositionSwitchPlayers",12
,) ("HaretavlRulesFourDogsTwoHaresStartingPositionSwitchPlayers",12
,) ("HaretavlEquipmentStartingPositions",26
,) ("HaretavlRulesStartingPosition",26
,) ("HaretavlEquipmentStartingPositionsSwitchPlayers",26
,) ("HaretavlRulesStartingPositionSwitchPlayers",26
,) if:(<=,6
